review,label
Fantastic! Will buy again.,1
"Great product, highly recommend!",1
Worst purchase ever. Don't buy.,0
"Great product, highly recommend!",0
"Average quality, okay for the price.",1
"Not as described, very disappointed.",0
"Not as described, very disappointed.",0
Good value for money.,1
"Terrible experience, never again.",0
Fantastic! Will buy again.,0
Excellent service and fast shipping!,1
"Average quality, okay for the price.",1
Worst purchase ever. Don't buy.,0
"Poor quality, broke after a week.",0
"Poor quality, broke after a week.",1
"Amazing, exceeded expectations.",0
Good value for money.,0
Good value for money.,0
Excellent service and fast shipping!,0
Good value for money.,1
"Great product, highly recommend!",0
"Great product, highly recommend!",0
"Terrible experience, never again.",0
"Poor quality, broke after a week.",1
"Amazing, exceeded expectations.",0
Worst purchase ever. Don't buy.,0
"Not as described, very disappointed.",0
"Not as described, very disappointed.",0
"Amazing, exceeded expectations.",0
"Amazing, exceeded expectations.",1
Good value for money.,1
"Amazing, exceeded expectations.",0
"Poor quality, broke after a week.",0
"Great product, highly recommend!",1
"Terrible experience, never again.",1
"Amazing, exceeded expectations.",0
"Great product, highly recommend!",1
"Not as described, very disappointed.",0
Good value for money.,0
"Poor quality, broke after a week.",1
"Great product, highly recommend!",0
Good value for money.,0
Fantastic! Will buy again.,0
Good value for money.,1
"Great product, highly recommend!",0
Fantastic! Will buy again.,0
"Terrible experience, never again.",0
"Terrible experience, never again.",0
Good value for money.,1
Worst purchase ever. Don't buy.,0
Good value for money.,1
"Average quality, okay for the price.",1
Worst purchase ever. Don't buy.,0
Excellent service and fast shipping!,0
"Average quality, okay for the price.",0
"Terrible experience, never again.",0
"Terrible experience, never again.",1
"Terrible experience, never again.",0
"Poor quality, broke after a week.",0
Good value for money.,0
Excellent service and fast shipping!,0
"Great product, highly recommend!",0
"Great product, highly recommend!",0
Good value for money.,1
Good value for money.,1
Good value for money.,1
"Terrible experience, never again.",0
Excellent service and fast shipping!,0
"Terrible experience, never again.",0
Good value for money.,1
"Amazing, exceeded expectations.",0
Good value for money.,1
"Poor quality, broke after a week.",1
"Great product, highly recommend!",1
Fantastic! Will buy again.,1
Excellent service and fast shipping!,1
Worst purchase ever. Don't buy.,1
"Amazing, exceeded expectations.",1
Good value for money.,1
"Terrible experience, never again.",1
"Amazing, exceeded expectations.",0
Excellent service and fast shipping!,0
Worst purchase ever. Don't buy.,1
"Not as described, very disappointed.",0
"Poor quality, broke after a week.",0
Excellent service and fast shipping!,1
Good value for money.,0
Fantastic! Will buy again.,1
"Poor quality, broke after a week.",1
"Not as described, very disappointed.",1
Excellent service and fast shipping!,1
Excellent service and fast shipping!,0
Excellent service and fast shipping!,0
Excellent service and fast shipping!,0
"Average quality, okay for the price.",0
"Terrible experience, never again.",1
Excellent service and fast shipping!,0
Fantastic! Will buy again.,0
"Average quality, okay for the price.",1
"Poor quality, broke after a week.",1
Worst purchase ever. Don't buy.,0
Worst purchase ever. Don't buy.,0
"Poor quality, broke after a week.",1
"Great product, highly recommend!",0
"Amazing, exceeded expectations.",0
"Poor quality, broke after a week.",0
Fantastic! Will buy again.,0
"Great product, highly recommend!",0
"Poor quality, broke after a week.",0
Good value for money.,0
Excellent service and fast shipping!,1
"Terrible experience, never again.",0
Fantastic! Will buy again.,1
Excellent service and fast shipping!,1
"Great product, highly recommend!",0
"Terrible experience, never again.",1
Fantastic! Will buy again.,0
Excellent service and fast shipping!,0
"Terrible experience, never again.",1
"Terrible experience, never again.",1
Fantastic! Will buy again.,1
Fantastic! Will buy again.,0
"Average quality, okay for the price.",0
"Poor quality, broke after a week.",0
"Great product, highly recommend!",0
"Amazing, exceeded expectations.",1
Excellent service and fast shipping!,0
"Great product, highly recommend!",1
"Poor quality, broke after a week.",0
Excellent service and fast shipping!,1
Excellent service and fast shipping!,1
"Amazing, exceeded expectations.",0
"Poor quality, broke after a week.",0
"Terrible experience, never again.",1
"Terrible experience, never again.",1
Excellent service and fast shipping!,0
"Average quality, okay for the price.",0
"Terrible experience, never again.",1
"Average quality, okay for the price.",0
Worst purchase ever. Don't buy.,0
"Terrible experience, never again.",0
"Terrible experience, never again.",0
Worst purchase ever. Don't buy.,0
"Great product, highly recommend!",1
"Average quality, okay for the price.",1
"Terrible experience, never again.",1
"Poor quality, broke after a week.",1
"Poor quality, broke after a week.",1
Good value for money.,1
"Poor quality, broke after a week.",0
"Poor quality, broke after a week.",1
Excellent service and fast shipping!,0
Good value for money.,1
Fantastic! Will buy again.,0
"Average quality, okay for the price.",1
"Amazing, exceeded expectations.",0
Fantastic! Will buy again.,0
"Great product, highly recommend!",0
"Terrible experience, never again.",0
